"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Navigate","Backward History","⌘[","In Windows"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Text Editing","Text End","↘","Editing Text"
"Run/Debug","EOF","⌃D","In I/O Console"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"PyDev - Editor","Previous Method or Class","⇧↑","PyDev editor scope"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Git","Rename Branch","⌃R ⌃R","JavaScript View"
"pepticcategory","Override/Implement Methods...","⇧⌥T O","PyDev editor scope"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Window","Previous Editor","⌃,","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Text Editing","Text End","⌥>","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"pepticcategory","Extract Method...","⌃R ⌃M","PyDev editor scope"
"Edit","Find and Replace","⌘F","In Windows"
"Text Editing","Page Up","⌥V","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"PyDev - Editor","Add Single Comment Block","⇧⌘4","PyDev editor scope"
"Text Editing","Text Start","Esc <","Editing Text"
"PyDev - Run","Terminate all launches","⌥⌘F9","PyDev editor scope"
"Git","Rename Branch...","⌃R ⌃R","JavaScript View"
"Text Editing","Previous Column","⌃B","Editing Text"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Text Editing","Line Start","⌃A","Editing Text"
"Edit","Redo","⌃X R","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Page Down","⌃V","Editing Text"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"PyDev - Editor","Python Go To Definition","F3","PyDev editor scope"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Navigate","Quick Outline","⌘O","PDE editor"
"Text Editing","Next Word","⌥→","Editing Text"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"PyDev - Editor","Next Method or Class","⇧⌘↓","PyDev editor scope"
"Source","Quick Assist - Extract local variable (replace all occurrences)","⌃R ⌃V","PyDev editor scope"
"Text Editing","Recenter","⌃L","Editing Text"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"PyDev - Editor","Offline Action for scripting","⌘2","PyDev editor scope"
"Source","Quick Assist - Extract local variable","⌃R ⌃V","PyDev editor scope"
"File","Save","⌘S","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"PyDev - Editor","Python Collapse","⌘-","PyDev editor scope"
"Text Editing","Text End","⌃X ]","Editing Text"
"Edit","Undo","⇧⌃-","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"PyDev - Editor","Python Un Collapse","⌘=","PyDev editor scope"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"PyDev - Run","Run custom tests","⌘F9","PyDev editor scope"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"File","Print","⌘P","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"WindowBuilder Pro","Switch Source/Design Views","F12","WindowBuilder XML scope"
"Run/Debug","Run to Line","⌘R","Debugging"
"Navigate","Backward History","⌥⌘←","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Insert Line Above Current Line","⌃O","Editing Text"
"Navigate","Open Declaration","⌃.","JavaScript View"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"PyDev - Editor","Python Collapse All","⌘9","PyDev editor scope"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Text Editing","Line End","⌃E","Editing Text"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Text Editing","Next Word","⌥F","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Uncategorized","Find all references","⇧⌘G","PyDev editor scope"
"Text Editing","Line Start","⌘←","Editing Text"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"PyDev - Editor","Python Uncomment","⌘\","PyDev editor scope"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
